,age,job,marital,education,balance,housing,loan,campaign,pdays,deposit
54,48.0,blue-collar,married,secondary,1405,yes,no,2,-1.0,yes
55,40.0,admin.,married,secondary,1535,yes,no,1,-1.0,yes
56,48.0,blue-collar,married,secondary,1596,yes,no,1,-1.0,yes
57,60.0,retired,married,primary,1542,yes,no,1,-1.0,yes
58,40.0,technician,single,unknown,3652,yes,no,2,-1.0,yes
59,57.0,technician,married,tertiary,-1,no,no,2,-1.0,yes
60,51.0,blue-collar,married,secondary,4087,yes,no,1,-1.0,yes
61,41.0,blue-collar,divorced,secondary,4087,yes,no,3,-1.0,yes
62,41.0,blue-collar,married,secondary,1384,yes,no,4,-1.0,yes
63,52.0,blue-collar,divorced,primary,-191,yes,no,1,-1.0,yes
64,59.0,blue-collar,married,primary,320,yes,no,1,-1.0,yes
65,44.0,blue-collar,married,unknown,146,yes,no,1,-1.0,yes
66,49.0,unknown,married,primary,341,yes,yes,2,-1.0,yes
67,40.0,services,married,primary,-9,yes,no,2,-1.0,yes
68,41.0,admin.,married,primary,-306,yes,no,1,-1.0,yes
69,44.0,technician,married,tertiary,4087,yes,no,2,-1.0,yes
70,60.0,services,single,primary,313,yes,no,2,-1.0,yes
71,29.0,management,married,tertiary,4087,no,no,2,-1.0,yes
72,41.0,retired,divorced,primary,-233,yes,no,2,-1.0,yes
73,41.0,blue-collar,married,primary,2453,yes,no,1,-1.0,yes
74,42.0,technician,single,secondary,1364,yes,no,6,-1.0,yes
75,36.0,services,single,unknown,281,yes,no,1,-1.0,yes
76,39.0,technician,married,tertiary,94,yes,yes,1,-1.0,yes
77,31.0,self-employed,single,tertiary,144,yes,no,1,-1.0,yes
78,26.0,blue-collar,married,secondary,246,yes,no,3,-1.0,yes
79,31.0,blue-collar,married,secondary,92,yes,no,1,-1.0,yes
80,29.0,admin.,single,secondary,163,yes,yes,1,-1.0,yes
81,37.0,services,divorced,secondary,49,yes,no,2,-1.0,yes
82,33.0,blue-collar,single,secondary,-416,yes,no,2,-1.0,yes
83,24.0,technician,single,secondary,409,yes,no,1,-1.0,yes
84,50.0,admin.,divorced,secondary,363,yes,no,1,-1.0,yes
85,27.0,technician,single,tertiary,3706,yes,no,1,-1.0,yes
86,54.0,management,single,tertiary,4087,yes,no,3,-1.0,yes
87,30.0,technician,single,secondary,863,yes,no,5,-1.0,yes
88,34.0,blue-collar,married,primary,695,yes,yes,4,-1.0,yes
89,37.0,management,single,secondary,792,yes,no,4,-1.0,yes
90,41.0,admin.,single,secondary,1020,yes,no,1,-1.0,yes
91,47.0,blue-collar,married,secondary,863,yes,no,2,-1.0,yes
92,31.0,admin.,married,secondary,97,yes,no,1,-1.0,yes
93,31.0,blue-collar,married,secondary,754,yes,no,4,-1.0,yes
94,43.0,services,divorced,secondary,1040,yes,no,3,-1.0,yes
95,37.0,management,divorced,tertiary,122,yes,no,2,-1.0,yes
96,30.0,technician,single,tertiary,880,yes,yes,6,-1.0,yes
97,41.0,technician,married,secondary,501,yes,no,5,-1.0,yes
98,36.0,blue-collar,married,secondary,4087,yes,no,1,-1.0,yes
99,35.0,blue-collar,divorced,secondary,0,yes,no,1,-1.0,yes
100,29.0,services,single,secondary,271,yes,no,2,-1.0,yes
101,35.0,blue-collar,married,primary,102,yes,no,1,-1.0,yes
102,31.0,blue-collar,married,secondary,2,yes,no,2,-1.0,yes
103,35.0,services,married,secondary,4087,yes,no,1,-1.0,yes
104,34.0,technician,single,secondary,85,yes,no,4,-1.0,yes
105,31.0,admin.,single,secondary,431,yes,yes,1,-1.0,yes
106,44.0,technician,divorced,secondary,982,yes,no,3,-1.0,yes
107,36.0,blue-collar,married,primary,408,yes,yes,2,-1.0,yes
108,35.0,blue-collar,married,unknown,4087,yes,no,2,-1.0,yes
109,41.0,blue-collar,married,primary,1250,yes,no,2,-1.0,yes
110,31.0,blue-collar,single,primary,216,yes,no,1,-1.0,yes
111,34.0,blue-collar,married,secondary,1207,yes,no,1,-1.0,yes
112,32.0,technician,married,secondary,791,yes,no,2,-1.0,yes
113,36.0,management,married,tertiary,849,yes,yes,2,-1.0,yes
114,30.0,blue-collar,single,secondary,239,yes,no,1,-1.0,yes
115,37.0,technician,single,secondary,1211,yes,no,1,-1.0,yes
116,36.0,blue-collar,married,primary,599,yes,no,2,-1.0,yes
117,31.0,management,single,tertiary,825,yes,no,2,-1.0,yes
118,27.0,technician,married,secondary,2183,yes,yes,1,-1.0,yes
119,34.0,retired,married,primary,4087,no,no,1,-1.0,yes
120,30.0,technician,single,tertiary,1289,yes,no,2,-1.0,yes
121,32.0,technician,single,tertiary,4087,yes,no,2,-1.0,yes
122,37.0,technician,single,secondary,3326,yes,no,1,-1.0,yes
123,32.0,blue-collar,married,secondary,783,yes,no,3,-1.0,yes
124,33.0,blue-collar,married,secondary,0,yes,no,3,-1.0,yes
125,35.0,blue-collar,married,primary,994,yes,no,6,-1.0,yes
126,35.0,self-employed,divorced,tertiary,1354,yes,no,2,-1.0,yes
128,45.0,blue-collar,divorced,primary,-311,yes,no,1,-1.0,yes
129,45.0,admin.,married,secondary,149,yes,no,3,-1.0,yes
130,33.0,blue-collar,married,secondary,1464,yes,no,3,-1.0,yes
131,44.0,management,divorced,tertiary,4087,no,no,6,-1.0,yes
132,40.0,blue-collar,married,primary,278,yes,no,3,-1.0,yes
133,31.0,blue-collar,married,secondary,2910,yes,no,2,-1.0,yes
134,30.0,technician,married,tertiary,541,yes,no,2,-1.0,yes
135,44.0,technician,divorced,secondary,1262,yes,no,6,-1.0,yes
136,34.0,services,married,secondary,-538,yes,no,1,-1.0,yes
137,37.0,blue-collar,married,secondary,125,no,no,2,-1.0,yes
138,28.0,self-employed,single,tertiary,0,yes,no,2,-1.0,yes
139,32.0,admin.,single,secondary,620,yes,no,3,-1.0,yes
140,37.0,blue-collar,divorced,secondary,316,yes,no,2,-1.0,yes
141,34.0,management,married,tertiary,2287,yes,no,4,-1.0,yes
142,38.0,admin.,divorced,secondary,198,yes,no,2,-1.0,yes
143,28.0,admin.,single,secondary,460,yes,no,6,-1.0,yes
144,31.0,management,divorced,tertiary,1145,yes,no,4,-1.0,yes
145,59.0,services,married,secondary,-22,yes,no,3,-1.0,yes
146,24.0,blue-collar,married,secondary,685,yes,no,3,-1.0,yes
147,26.0,services,single,secondary,901,yes,no,2,-1.0,yes
148,59.0,retired,single,secondary,351,yes,no,5,-1.0,yes
149,30.0,entrepreneur,single,primary,0,yes,yes,1,-1.0,yes
150,37.0,admin.,married,secondary,274,yes,no,3,-1.0,yes
151,30.0,admin.,single,secondary,-213,yes,yes,1,-1.0,yes
152,25.0,blue-collar,married,secondary,97,yes,no,1,-1.0,yes
153,44.0,services,divorced,secondary,51,yes,yes,2,-1.0,yes
154,29.0,management,married,tertiary,314,no,no,2,-1.0,yes
155,26.0,management,single,tertiary,4087,yes,no,2,-1.0,yes
156,26.0,technician,single,secondary,668,yes,no,3,-1.0,yes
157,27.0,services,single,secondary,54,yes,no,2,-1.0,yes
158,25.0,self-employed,single,secondary,1242,yes,no,2,-1.0,yes
159,28.0,management,married,secondary,292,yes,no,1,-1.0,yes
160,23.0,services,single,secondary,665,yes,no,1,-1.0,yes
161,34.0,management,single,tertiary,1058,yes,no,2,-1.0,yes
162,28.0,student,single,secondary,949,yes,no,1,-1.0,yes
163,51.0,entrepreneur,married,unknown,606,yes,no,6,-1.0,yes
164,35.0,blue-collar,married,secondary,0,yes,yes,1,-1.0,yes
165,35.0,admin.,married,secondary,404,yes,no,1,-1.0,yes
166,56.0,blue-collar,married,secondary,249,yes,no,2,-1.0,yes
167,45.0,unemployed,divorced,secondary,3354,yes,no,1,-1.0,yes
168,60.0,blue-collar,divorced,secondary,0,yes,no,1,-1.0,yes
169,56.0,technician,married,secondary,589,yes,no,2,-1.0,yes
170,27.0,management,single,tertiary,4087,yes,no,3,-1.0,yes
171,30.0,admin.,married,secondary,873,yes,no,3,-1.0,yes
172,45.0,blue-collar,divorced,primary,594,yes,no,2,-1.0,yes
173,29.0,blue-collar,single,secondary,-20,yes,no,2,-1.0,yes
174,38.0,management,divorced,tertiary,4087,yes,no,2,-1.0,yes
175,30.0,blue-collar,married,secondary,486,yes,no,3,-1.0,yes
176,44.0,blue-collar,single,primary,1593,yes,no,3,-1.0,yes
177,36.0,management,single,tertiary,4087,yes,no,1,-1.0,yes
178,38.0,technician,married,secondary,226,yes,no,3,-1.0,yes
179,36.0,blue-collar,single,secondary,366,yes,yes,2,-1.0,yes
180,37.0,management,divorced,secondary,16,yes,no,1,-1.0,yes
181,35.0,management,single,tertiary,565,yes,no,1,-1.0,yes
182,38.0,admin.,divorced,secondary,19,yes,no,2,-1.0,yes
183,40.0,services,married,primary,1082,yes,no,2,-1.0,yes
184,42.0,unemployed,divorced,secondary,1713,yes,no,2,-1.0,yes
185,46.0,management,divorced,tertiary,4087,yes,no,1,-1.0,yes
186,35.0,technician,divorced,secondary,4087,yes,no,6,-1.0,yes
187,34.0,technician,divorced,secondary,1451,yes,no,6,-1.0,yes
188,32.0,services,married,secondary,-34,yes,no,2,-1.0,yes
189,50.0,unemployed,married,secondary,3674,yes,no,3,-1.0,yes
190,35.0,blue-collar,married,secondary,698,yes,yes,3,-1.0,yes
191,36.0,technician,single,secondary,4087,yes,no,3,-1.0,yes
192,53.0,blue-collar,divorced,primary,2656,yes,no,2,-1.0,yes
193,46.0,management,single,tertiary,2904,yes,no,2,-1.0,yes
194,26.0,management,single,tertiary,1004,yes,no,2,-1.0,yes
195,45.0,technician,single,secondary,410,yes,no,4,-1.0,yes
196,31.0,unemployed,divorced,primary,0,yes,no,6,-1.0,yes
197,29.0,management,single,tertiary,0,yes,no,6,-1.0,yes
198,53.0,entrepreneur,single,secondary,62,yes,no,5,-1.0,yes
199,27.0,blue-collar,married,primary,416,yes,no,2,-1.0,yes
200,39.0,management,married,tertiary,2763,yes,no,2,-1.0,yes
201,36.0,services,married,secondary,2984,yes,no,1,-1.0,yes
202,41.0,blue-collar,married,primary,143,yes,yes,2,-1.0,yes
203,36.0,services,married,primary,0,yes,no,1,-1.0,yes
204,32.0,technician,married,secondary,696,yes,no,1,-1.0,yes
205,35.0,services,married,secondary,152,yes,no,1,-1.0,yes
206,36.0,management,single,tertiary,-78,yes,no,1,-1.0,yes
207,35.0,management,married,tertiary,867,yes,no,3,-1.0,yes
208,30.0,blue-collar,single,secondary,953,yes,no,2,-1.0,yes
209,42.0,blue-collar,married,secondary,443,yes,no,5,-1.0,yes
210,42.0,technician,single,secondary,-1129,yes,no,5,-1.0,yes
211,32.0,blue-collar,married,primary,415,yes,no,4,-1.0,yes
212,29.0,blue-collar,single,secondary,260,yes,no,6,-1.0,yes
213,44.0,management,divorced,tertiary,-411,yes,no,4,-1.0,yes
214,32.0,technician,single,secondary,1279,yes,no,3,-1.0,yes
215,31.0,unemployed,married,secondary,86,yes,yes,2,-1.0,yes
216,40.0,self-employed,married,secondary,-754,yes,yes,3,-1.0,yes
217,43.0,entrepreneur,married,secondary,0,no,no,6,-1.0,yes
218,27.0,management,single,secondary,178,yes,no,2,-1.0,yes
219,37.0,services,single,secondary,278,yes,no,3,-1.0,yes
220,23.0,services,single,secondary,425,yes,no,1,-1.0,yes
221,25.0,management,married,primary,168,yes,no,1,-1.0,yes
222,26.0,blue-collar,single,secondary,-36,yes,no,2,-1.0,yes
223,47.0,blue-collar,divorced,primary,126,yes,no,2,-1.0,yes
224,35.0,admin.,married,secondary,-87,yes,no,6,-1.0,yes
225,32.0,technician,single,tertiary,4087,yes,no,4,-1.0,yes
226,45.0,management,divorced,secondary,644,yes,no,1,-1.0,yes
227,30.0,admin.,divorced,secondary,377,yes,no,6,-1.0,yes
228,29.0,services,single,secondary,-271,yes,no,1,-1.0,yes
229,38.0,blue-collar,married,primary,4087,yes,no,2,-1.0,yes
230,23.0,blue-collar,single,secondary,492,yes,no,1,-1.0,yes
231,27.0,management,single,tertiary,99,yes,no,2,-1.0,yes
232,27.0,management,single,tertiary,-713,yes,no,2,-1.0,yes
233,29.0,services,single,secondary,32,yes,no,1,-1.0,yes
234,30.0,self-employed,married,tertiary,543,yes,yes,6,-1.0,yes
235,36.0,blue-collar,married,primary,403,yes,no,1,-1.0,yes
236,35.0,admin.,divorced,secondary,437,yes,no,1,-1.0,yes
237,36.0,blue-collar,married,secondary,1772,no,no,1,-1.0,yes
238,59.0,retired,divorced,primary,-88,yes,no,2,-1.0,yes
239,47.0,entrepreneur,married,secondary,0,no,no,1,-1.0,yes
240,58.0,entrepreneur,married,tertiary,853,no,no,2,-1.0,yes
241,37.0,management,single,tertiary,240,no,no,1,-1.0,yes
242,46.0,admin.,single,secondary,849,yes,no,2,-1.0,yes
243,43.0,blue-collar,single,secondary,318,yes,no,2,-1.0,yes
244,27.0,management,single,tertiary,703,yes,no,3,-1.0,yes
245,38.0,services,divorced,secondary,61,no,no,1,-1.0,yes
246,53.0,housemaid,married,primary,104,no,yes,1,-1.0,yes
247,47.0,blue-collar,married,secondary,1996,no,no,2,-1.0,yes
248,56.0,housemaid,divorced,primary,1238,no,no,1,-1.0,yes
249,41.0,housemaid,married,secondary,879,no,no,2,-1.0,yes
250,29.0,self-employed,married,secondary,425,yes,no,6,-1.0,yes
251,50.0,technician,married,secondary,416,yes,no,5,-1.0,yes
252,45.0,blue-collar,divorced,primary,844,no,no,3,-1.0,yes
253,35.0,blue-collar,married,secondary,860,yes,no,4,-1.0,yes
254,26.0,technician,single,secondary,639,yes,no,5,-1.0,yes
255,26.0,admin.,married,secondary,710,yes,yes,2,-1.0,yes
256,37.0,blue-collar,married,unknown,1508,no,yes,2,-1.0,yes
257,30.0,admin.,single,secondary,223,yes,no,6,-1.0,yes
258,38.0,management,single,tertiary,619,yes,no,4,-1.0,yes
259,37.0,services,divorced,secondary,319,yes,no,3,-1.0,yes
260,53.0,technician,married,secondary,480,no,no,2,-1.0,yes
261,29.0,blue-collar,single,primary,213,yes,no,3,-1.0,yes
262,35.0,management,single,tertiary,68,no,no,1,-1.0,yes
263,28.0,blue-collar,married,secondary,2788,yes,no,2,-1.0,yes
264,55.0,blue-collar,married,unknown,4087,no,no,3,-1.0,yes
265,49.0,management,divorced,secondary,-46,yes,no,6,-1.0,yes
266,50.0,services,married,secondary,1595,no,no,1,-1.0,yes
267,43.0,management,single,tertiary,1046,no,no,1,-1.0,yes
268,58.0,self-employed,divorced,tertiary,1382,no,no,1,-1.0,yes
269,38.0,technician,married,primary,217,yes,no,6,-1.0,yes
270,48.0,blue-collar,divorced,primary,183,no,no,1,-1.0,yes
271,59.0,management,married,secondary,1321,no,no,3,-1.0,yes
272,58.0,blue-collar,married,secondary,25,no,no,3,-1.0,yes
273,36.0,self-employed,single,tertiary,4087,no,no,3,-1.0,yes
274,42.0,entrepreneur,married,tertiary,4087,no,no,3,-1.0,yes
275,41.0,admin.,single,secondary,812,no,yes,4,-1.0,yes
276,42.0,admin.,married,secondary,105,no,no,4,-1.0,yes
277,39.0,management,married,tertiary,-190,no,yes,6,-1.0,yes
278,57.0,housemaid,married,primary,625,no,yes,1,-1.0,yes
279,52.0,retired,married,unknown,293,no,no,1,-1.0,yes
280,59.0,retired,married,unknown,1033,no,no,1,-1.0,yes
281,56.0,blue-collar,married,secondary,1210,no,no,1,-1.0,yes
282,49.0,management,married,tertiary,64,no,no,1,-1.0,yes
283,35.0,blue-collar,divorced,unknown,164,no,no,2,-1.0,yes
284,36.0,unemployed,married,secondary,1766,no,no,2,-1.0,yes
285,40.0,admin.,single,tertiary,1248,no,no,2,-1.0,yes
286,55.0,blue-collar,married,secondary,0,no,no,2,-1.0,yes
287,58.0,admin.,married,secondary,826,no,no,1,-1.0,yes
288,39.0,self-employed,married,tertiary,2630,no,no,5,-1.0,yes
289,47.0,housemaid,single,tertiary,3727,no,no,6,-1.0,yes
290,40.0,management,married,secondary,406,yes,no,2,-1.0,yes
291,35.0,blue-collar,married,tertiary,2999,no,no,6,-1.0,yes
292,48.0,blue-collar,married,secondary,1000,yes,no,2,-1.0,yes
293,48.0,management,divorced,tertiary,503,no,yes,6,-1.0,yes
294,24.0,blue-collar,single,secondary,-203,yes,no,3,-1.0,yes
295,49.0,blue-collar,married,primary,361,yes,no,2,-1.0,yes
296,36.0,blue-collar,married,secondary,274,yes,no,6,-1.0,yes
297,52.0,retired,divorced,tertiary,3687,yes,yes,4,-1.0,yes
298,42.0,entrepreneur,single,unknown,323,no,no,1,-1.0,yes
299,36.0,services,married,secondary,981,no,no,1,-1.0,yes
300,36.0,blue-collar,divorced,secondary,638,yes,no,2,-1.0,yes
301,48.0,unemployed,single,tertiary,3229,no,no,1,-1.0,yes
302,51.0,management,single,secondary,1610,yes,no,3,-1.0,yes
303,51.0,blue-collar,married,secondary,33,no,yes,3,-1.0,yes
304,46.0,technician,married,secondary,536,yes,no,2,-1.0,yes
305,37.0,management,married,tertiary,0,no,no,6,-1.0,yes
306,36.0,entrepreneur,married,tertiary,3057,no,no,4,-1.0,yes
307,47.0,management,married,secondary,2892,no,no,1,-1.0,yes
308,40.0,technician,divorced,tertiary,0,no,no,1,-1.0,yes
309,38.0,student,single,tertiary,3316,no,no,3,-1.0,yes
310,40.0,management,married,secondary,106,no,no,2,-1.0,yes
311,39.0,blue-collar,married,primary,2303,yes,no,3,-1.0,yes
312,60.0,management,married,tertiary,3301,no,no,3,-1.0,yes
313,39.0,self-employed,single,tertiary,426,no,no,1,-1.0,yes
314,51.0,services,divorced,secondary,9,no,no,2,-1.0,yes
315,27.0,admin.,married,secondary,-97,yes,no,2,-1.0,yes
316,41.0,management,single,tertiary,4087,no,no,1,-1.0,yes
317,42.0,blue-collar,single,primary,4087,no,no,1,-1.0,yes
318,41.0,entrepreneur,married,secondary,707,no,no,1,-1.0,yes
319,33.0,technician,married,secondary,4,yes,yes,2,-1.0,yes
320,46.0,admin.,married,secondary,126,no,no,1,-1.0,yes
321,31.0,blue-collar,married,secondary,671,yes,no,4,-1.0,yes
322,41.0,blue-collar,married,primary,219,no,yes,3,-1.0,yes
323,41.0,blue-collar,divorced,secondary,3622,no,no,4,-1.0,yes
324,55.0,retired,divorced,secondary,1580,no,yes,1,-1.0,yes
325,53.0,technician,married,secondary,1319,no,no,3,-1.0,yes
326,55.0,housemaid,married,primary,2152,no,no,2,-1.0,yes
327,39.0,services,married,secondary,2843,yes,no,1,-1.0,yes
328,40.0,entrepreneur,married,tertiary,0,no,no,4,-1.0,yes
329,59.0,retired,married,primary,1115,no,no,1,-1.0,yes
330,42.0,blue-collar,single,secondary,625,no,no,3,-1.0,yes
331,41.0,blue-collar,married,primary,246,no,no,3,-1.0,yes
332,27.0,blue-collar,married,secondary,61,yes,no,1,-1.0,yes
333,25.0,blue-collar,single,secondary,-191,yes,no,6,-1.0,yes
334,43.0,unemployed,married,primary,519,no,no,2,-1.0,yes
335,44.0,services,married,secondary,522,no,yes,1,-1.0,yes
336,26.0,blue-collar,single,secondary,-46,yes,no,6,-1.0,yes
337,52.0,retired,married,tertiary,2269,no,no,1,-1.0,yes
338,54.0,services,married,unknown,386,no,yes,1,-1.0,yes
339,56.0,management,married,tertiary,0,no,yes,1,-1.0,yes
340,57.0,management,married,tertiary,4087,no,yes,2,-1.0,yes
341,29.0,blue-collar,single,secondary,908,yes,no,1,-1.0,yes
342,47.0,technician,married,tertiary,1694,no,yes,3,-1.0,yes
343,57.0,management,married,tertiary,-92,yes,yes,1,-1.0,yes
344,40.0,blue-collar,married,secondary,188,yes,yes,2,-1.0,yes
345,46.0,services,divorced,secondary,0,no,no,3,-1.0,yes
346,43.0,blue-collar,single,secondary,740,yes,no,2,-1.0,yes
347,45.0,management,married,tertiary,655,no,no,3,-1.0,yes
348,24.0,management,married,secondary,867,yes,no,6,-1.0,yes
349,40.0,blue-collar,married,secondary,1009,yes,yes,5,-1.0,yes
350,38.0,services,divorced,unknown,4087,no,no,2,-1.0,yes
351,36.0,unemployed,married,tertiary,4087,no,no,4,-1.0,yes
352,27.0,blue-collar,single,secondary,-27,no,no,2,-1.0,yes
353,26.0,admin.,single,primary,-122,yes,no,3,-1.0,yes
354,43.0,management,married,tertiary,149,yes,no,2,-1.0,yes
355,25.0,blue-collar,single,primary,52,yes,no,2,-1.0,yes
356,27.0,blue-collar,married,tertiary,335,yes,no,3,-1.0,yes
357,30.0,technician,married,tertiary,526,yes,yes,3,-1.0,yes
358,28.0,admin.,single,secondary,-7,no,yes,2,-1.0,yes
359,27.0,blue-collar,married,primary,-413,no,yes,6,-1.0,yes
360,32.0,admin.,divorced,secondary,-241,no,yes,2,-1.0,yes
361,41.0,blue-collar,single,secondary,75,yes,no,6,-1.0,yes
362,37.0,technician,single,tertiary,0,no,no,2,-1.0,yes
363,27.0,technician,single,secondary,158,no,no,2,-1.0,yes
364,29.0,services,single,secondary,84,no,yes,3,-1.0,yes
365,33.0,services,married,secondary,114,no,yes,1,-1.0,yes
366,36.0,technician,married,primary,0,no,no,1,-1.0,yes
367,28.0,blue-collar,single,secondary,-127,yes,no,3,-1.0,yes
368,55.0,blue-collar,married,secondary,49,yes,no,4,-1.0,yes
369,51.0,technician,married,secondary,216,no,no,2,-1.0,yes
370,39.0,technician,single,secondary,506,yes,no,2,-1.0,yes
371,42.0,blue-collar,divorced,primary,213,yes,no,3,-1.0,yes
372,33.0,services,single,secondary,170,no,no,1,-1.0,yes
373,36.0,entrepreneur,divorced,tertiary,776,no,yes,3,-1.0,yes
374,45.0,technician,married,secondary,879,no,no,2,-1.0,yes
375,37.0,self-employed,married,secondary,1633,no,no,2,-1.0,yes
376,46.0,unemployed,married,secondary,926,no,no,5,-1.0,yes
377,32.0,self-employed,single,tertiary,2559,no,no,1,-1.0,yes
378,28.0,technician,single,secondary,909,no,yes,1,-1.0,yes
379,45.0,admin.,divorced,secondary,-176,no,yes,1,-1.0,yes
380,41.0,blue-collar,single,secondary,1085,yes,yes,1,-1.0,yes
381,59.0,blue-collar,divorced,primary,1265,no,yes,1,-1.0,yes
382,47.0,technician,single,secondary,-239,yes,yes,3,-1.0,yes
383,31.0,blue-collar,single,secondary,726,no,no,2,-1.0,yes
384,31.0,management,single,tertiary,296,no,yes,4,-1.0,yes
385,33.0,entrepreneur,married,secondary,-627,yes,yes,1,-1.0,yes
386,52.0,entrepreneur,married,tertiary,-468,no,no,1,-1.0,yes
387,26.0,self-employed,single,secondary,551,no,no,1,-1.0,yes
388,25.0,technician,single,secondary,0,no,yes,1,-1.0,yes
389,25.0,blue-collar,married,secondary,101,no,yes,3,-1.0,yes
390,28.0,blue-collar,single,secondary,517,no,yes,1,-1.0,yes
391,33.0,entrepreneur,divorced,tertiary,37,no,yes,1,-1.0,yes
392,45.0,management,divorced,tertiary,854,no,yes,1,-1.0,yes
393,36.0,services,married,secondary,30,no,yes,5,-1.0,yes
394,26.0,blue-collar,single,secondary,81,no,yes,2,-1.0,yes
395,38.0,technician,married,secondary,0,no,no,1,-1.0,yes
396,56.0,blue-collar,single,secondary,663,no,yes,3,-1.0,yes
397,26.0,admin.,single,secondary,102,no,yes,2,-1.0,yes
398,26.0,technician,married,secondary,370,no,yes,4,-1.0,yes
399,25.0,blue-collar,single,secondary,189,no,yes,2,-1.0,yes
400,26.0,unemployed,single,secondary,111,no,no,1,-1.0,yes
401,40.0,blue-collar,married,primary,665,yes,no,1,-1.0,yes
402,37.0,admin.,married,primary,214,yes,no,1,-1.0,yes
403,43.0,blue-collar,single,primary,0,no,no,1,-1.0,yes
404,41.0,services,divorced,tertiary,1583,yes,no,1,-1.0,yes
405,49.0,blue-collar,married,secondary,0,no,yes,1,-1.0,yes
406,29.0,admin.,divorced,tertiary,0,no,yes,3,-1.0,yes
407,39.0,services,divorced,secondary,687,yes,no,1,-1.0,yes
408,38.0,management,married,tertiary,327,yes,yes,5,-1.0,yes
409,26.0,technician,married,secondary,-119,no,yes,5,-1.0,yes
410,32.0,management,married,tertiary,794,yes,yes,1,-1.0,yes
411,33.0,blue-collar,married,primary,-191,yes,yes,4,-1.0,yes
412,31.0,management,single,tertiary,409,no,yes,5,-1.0,yes
